"","Study_Number","group","grp1_base_n","grp1_base_mean","grp1_base_sd","grp1_base_se","n","weighted.mean","overall_mean","q","qc","overall_sd"
"61",165,"CVD_Total Mg",8,0.88,0.13,0.05,333,0.0212048192771084,0.841686746987952,6.3135,239.1302,15.4408429036379
"62",169,"CVD_iMg",21,0.55,0.06,0.01,956,0.0120942408376963,0.504251308900524,6.4245,248.0064,15.7401354621493
"63",169,"CVD_iMg",12,0.51,0.07,0.02,956,0.00640837696335079,0.504251308900524,3.1751,248.0064,15.7401354621493
"64",169,"CVD_Total Mg",21,0.78,0.1,0.02,333,0.0493373493975904,0.841686746987952,12.9764,239.1302,15.4408429036379
"65",169,"CVD_Total Mg",12,0.8,0.11,0.03,333,0.0289156626506024,0.841686746987952,7.8131,239.1302,15.4408429036379
"66",201,"Hypertension_iMg",113,0.63,0.07,0.01,462,0.154425162689805,0.643340563991323,45.3985,198.8119,14.0853510824524
"67",201,"CVD_iMg",26,0.64,0.06,0.01,956,0.0174240837696335,0.504251308900524,10.7396,248.0064,15.7401354621493
"68",201,"Healthy_iMg",273,0.63,0.08,0,5522,0.0311519652236914,0.53871037855461,110.0945,1431.9292,37.8370048836254
"69",211,"CVD_iMg",72,0.51,0.01,0,956,0.0384502617801047,0.504251308900524,18.7343,248.0064,15.7401354621493
"70",211,"CVD_Total Mg",90,0.76,0.02,0,333,0.206024096385542,0.841686746987952,52.0196,239.1302,15.4408429036379
"71",212,"CVD_iMg",25,0.47,0.1,0.02,956,0.012303664921466,0.504251308900524,5.7625,248.0064,15.7401354621493
"72",212,"CVD_iMg",25,0.46,0.15,0.03,956,0.0120418848167539,0.504251308900524,5.83,248.0064,15.7401354621493
"73",219,"Renal disease_iMg",78,0.5,0.1,0.01,781,0.05,0.577282051282051,20.27,257.2032,16.0271494091689
"74",233,"Renal disease_Total Mg",39,0.79,0.02,0,628,0.0491387559808612,0.947448165869219,24.3551,557.2699,23.5875138643626
"75",233,"Renal disease_iMg",39,0.54,0.01,0,781,0.027,0.577282051282051,11.3762,257.2032,16.0271494091689
"76",234,"Renal disease_iMg",27,0.5,0.02,0,781,0.0173076923076923,0.577282051282051,6.7604,257.2032,16.0271494091689
"77",234,"Renal disease_Total Mg",27,0.78,0.02,0,628,0.0335885167464115,0.947448165869219,16.4372,557.2699,23.5875138643626
"78",234,"Healthy_iMg",34,0.61,0.06,0.01,5522,0.00375656583952183,0.53871037855461,12.7702,1431.9292,37.8370048836254
